httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,timestamp,trace,traceSampled
1.393488s,H2C,64.233.173.224,POST,1253,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be9b00019f72438e2cfa,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:35.150118855Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,2e206bcb5aec31bb,"'2026-05-25T03:14:33.708033Z","'projects/mempan-cac51/traces/1c92bce868e7edbbc455c58881f5650b",
1.449046s,H2C,192.178.8.100,POST,1226,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be9a000eca005d471417,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:35.150118855Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,257ec202bf6b1061,"'2026-05-25T03:14:33.512158Z","'projects/mempan-cac51/traces/930d72f9b31296df5df5c094547c9c79",
1.387510s,H2C,64.233.173.41,POST,1201,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.75.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be9a0003b8bdd4a456d5,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:34.481483019Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,ea76981322a9c4b4,"'2026-05-25T03:14:32.852158Z","'projects/mempan-cac51/traces/e152a9d4a661cca3d3009882989a3543",
1.449082s,H2C,64.233.173.133,POST,1245,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.75.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be99000ab4ae2c46d55e,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:33.819971250Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,e91f9eb997f887cb,"'2026-05-25T03:14:32.248091Z","'projects/mempan-cac51/traces/698efc18baf3ee4e61f822004c1fd6b0",
1.386220s,H2C,192.178.8.96,POST,1253,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.73.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be97000da4ea042d8399,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:32.151106467Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,fbf16e3a5b4f1a60,"'2026-05-25T03:14:30.502444Z","'projects/mempan-cac51/traces/2f6a88f69d0fad0de72b46ab6ca54093",
1.392694s,H2C,64.233.173.232,POST,1201,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be970009ce50aa45b079,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:31.819131517Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,e3480e33d8902601,"'2026-05-25T03:14:30.244582Z","'projects/mempan-cac51/traces/d42f90a8094289ae05b799dab1111a89",
2.119936s,H2C,64.233.173.162,POST,1245,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be96000a60f948890b7c,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:30.822174671Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,827220a3a396d338,"'2026-05-25T03:14:28.555477Z","'projects/mempan-cac51/traces/17b64e660ada42d01082662af6ed56c4",
1.399493s,H2C,64.233.173.145,POST,1245,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.73.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be9500064504755a4e3d,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:29.492162203Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,ef0f43bdb3ec6590,"'2026-05-25T03:14:28.007692Z","'projects/mempan-cac51/traces/9e02e7a26d19879b9f976e4c540888bc",
1.523634s,H2C,192.178.8.100,POST,1226,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.73.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be950006802921491be1,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:29.492162203Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,20246fe73889b8db,"'2026-05-25T03:14:27.898847Z","'projects/mempan-cac51/traces/db395886d00c4c0fb1c427b304358135",
1.405601s,H2C,64.233.173.36,POST,1253,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.79.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be920003cf9d1c662ae0,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:26.490783975Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,8e220d805afa17b9,"'2026-05-25T03:14:24.840469Z","'projects/mempan-cac51/traces/e253b560e9e139ae4b0c1c3abd52451e",
2.120033s,H2C,64.233.173.97,POST,1245,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.75.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be92000d17a6e57f6772,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:27.153463008Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,723202c966b1da9a,"'2026-05-25T03:14:24.732817Z","'projects/mempan-cac51/traces/fdec70052d5c8fa332a69b1d91b2aa90",
1.466888s,H2C,64.233.173.102,POST,1201,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be920001b6687ef04ca6,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:26.157321844Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,c6ff756b7a2c9b0d,"'2026-05-25T03:14:24.636140Z","'projects/mempan-cac51/traces/cf861260b4c9f160131054a1c207bc79",
2.152981s,H2C,64.233.173.36,POST,1245,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.73.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be920003eae7e57a194c,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:26.490783975Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,6bbbcf7be923f99c,"'2026-05-25T03:14:24.097206Z","'projects/mempan-cac51/traces/584ac1d3d8bebbf6c6a6e47573258954",true
1.457279s,H2C,192.178.8.69,POST,1254,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.78.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be8f0005fd09e00ee871,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:23.493893408Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,e9c4d5e65f36b146,"'2026-05-25T03:14:21.930911Z","'projects/mempan-cac51/traces/91025ff1b1c7c97eb236ffbaab62c0d0",
2.059146s,H2C,192.178.8.67,POST,1226,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.73.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be8f000b73514c403c89,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:23.825225285Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,4b5fbd45fb4b3de9,"'2026-05-25T03:14:21.686690Z","'projects/mempan-cac51/traces/836ec34142681385e0e312b45bf3c517",
1.444194s,H2C,64.233.173.170,POST,1202,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.73.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be8e000eed59ec144168,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:23.160131357Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,f35aa899fbb01a49,"'2026-05-25T03:14:21.529585Z","'projects/mempan-cac51/traces/85a3f8389677eda043ae6473e3551e56",
2.098285s,H2C,64.233.173.133,POST,1246,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.75.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be8f00083f23d4ebc60b,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:23.825225285Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,c02a97b974762859,"'2026-05-25T03:14:21.435264Z","'projects/mempan-cac51/traces/686c40f804b4ee3e11fde2200ce4e170",
2.200214s,H2C,64.233.173.228,POST,1245,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be8e000b46597334ee2d,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:22.827187451Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,394d4749fbca5e97,"'2026-05-25T03:14:20.534912Z","'projects/mempan-cac51/traces/c99acabb54a7cf7785cd18d8aa71c346",
2.123301s,H2C,64.233.173.202,POST,1254,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.73.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be8d0003130506d659a5,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:21.493401156Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,57745958f226098e,"'2026-05-25T03:14:19.074159Z","'projects/mempan-cac51/traces/236905678f6a44754f2e2a04154712ce",
1.453140s,H2C,64.233.173.232,POST,1201,"'https://notification-service-wzed7v5hbq-as.a.run.app/internal/pubsub?token=6a2289792dba0a6bc2a1082e1457f1d7ff9f46e0c74c20f652b808121da88614",140,34.143.76.2,500,"'APIs-Google; (+https://developers.google.com/webmasters/APIs-Google.html)",6a13be8b0008c1eb62a60e2e,0007b734d9a82018247a7c0a6b799e17b95d2533d293217ea959c1fd1c7665d0f8c43b6e6b534a0da937ee5b22140219b8792962ceeac10b0cfb06e5201b68f13390a7439586ceb333380451aaa970f8c6,"'projects/mempan-cac51/logs/run.googleapis.com%2Frequests",,"'2026-05-25T03:14:19.831948645Z","'notification-service","'asia-southeast1","'mempan-cac51","'notification-service-00009-xsf","'notification-service",cloud_run_revision,ERROR,c1a6d827225061d7,"'2026-05-25T03:14:18.117294Z","'projects/mempan-cac51/traces/6fbb9fca7ee1ee71b6766969b5c4182d",
